Classe,Precisão,Recall,F1-Score,Suporte
A,0.0,0.0,0.0,97
E,0.825,0.6346153846153846,0.717391304347826,52
I,0.25,0.5660377358490566,0.3468208092485549,53
O,0.9583333333333334,0.92,0.9387755102040817,50
U,0.4631578947368421,0.8627450980392157,0.6027397260273972,51
MÉDIA MACRO,0.4992982456140351,0.5966796437007313,0.521145469965572,303
MÉDIA PONDERADA,0.42141161484569506,0.504950495049505,0.4401463770754512,303
ACURÁCIA GERAL,0.504950495049505,0.504950495049505,0.504950495049505,303
